raceId,circuitId,year,round,title,when
833,9,1950,1,British Grand Prix,1950-05-13T00:00:00
834,6,1950,2,Monaco Grand Prix,1950-05-21T00:00:00
835,19,1950,3,Indianapolis 500,1950-05-30T00:00:00
836,66,1950,4,Swiss Grand Prix,1950-06-04T00:00:00
837,13,1950,5,Belgian Grand Prix,1950-06-18T00:00:00
838,55,1950,6,French Grand Prix,1950-07-02T00:00:00
839,14,1950,7,Italian Grand Prix,1950-09-03T00:00:00
825,66,1951,1,Swiss Grand Prix,1951-05-27T00:00:00
826,19,1951,2,Indianapolis 500,1951-05-30T00:00:00
827,13,1951,3,Belgian Grand Prix,1951-06-17T00:00:00
828,55,1951,4,French Grand Prix,1951-07-01T00:00:00
829,9,1951,5,British Grand Prix,1951-07-14T00:00:00
830,20,1951,6,German Grand Prix,1951-07-29T00:00:00
831,14,1951,7,Italian Grand Prix,1951-09-16T00:00:00
832,67,1951,8,Spanish Grand Prix,1951-10-28T00:00:00
817,66,1952,1,Swiss Grand Prix,1952-05-18T00:00:00
818,19,1952,2,Indianapolis 500,1952-05-30T00:00:00
819,13,1952,3,Belgian Grand Prix,1952-06-22T00:00:00
820,53,1952,4,French Grand Prix,1952-07-06T00:00:00
821,9,1952,5,British Grand Prix,1952-07-19T00:00:00
822,20,1952,6,German Grand Prix,1952-08-03T00:00:00
823,39,1952,7,Dutch Grand Prix,1952-08-17T00:00:00
824,14,1952,8,Italian Grand Prix,1952-09-07T00:00:00
808,25,1953,1,Argentine Grand Prix,1953-01-18T00:00:00
809,19,1953,2,Indianapolis 500,1953-05-30T00:00:00
810,39,1953,3,Dutch Grand Prix,1953-06-07T00:00:00
811,13,1953,4,Belgian Grand Prix,1953-06-21T00:00:00
812,55,1953,5,French Grand Prix,1953-07-05T00:00:00
813,9,1953,6,British Grand Prix,1953-07-18T00:00:00
814,20,1953,7,German Grand Prix,1953-08-02T00:00:00
815,66,1953,8,Swiss Grand Prix,1953-08-23T00:00:00
816,14,1953,9,Italian Grand Prix,1953-09-13T00:00:00
799,25,1954,1,Argentine Grand Prix,1954-01-17T00:00:00
800,19,1954,2,Indianapolis 500,1954-05-31T00:00:00
801,13,1954,3,Belgian Grand Prix,1954-06-20T00:00:00
802,55,1954,4,French Grand Prix,1954-07-04T00:00:00
803,9,1954,5,British Grand Prix,1954-07-17T00:00:00
804,20,1954,6,German Grand Prix,1954-08-01T00:00:00
805,66,1954,7,Swiss Grand Prix,1954-08-22T00:00:00
806,14,1954,8,Italian Grand Prix,1954-09-05T00:00:00
807,67,1954,9,Spanish Grand Prix,1954-10-24T00:00:00
792,25,1955,1,Argentine Grand Prix,1955-01-16T00:00:00
793,6,1955,2,Monaco Grand Prix,1955-05-22T00:00:00
794,19,1955,3,Indianapolis 500,1955-05-30T00:00:00
795,13,1955,4,Belgian Grand Prix,1955-06-05T00:00:00
796,39,1955,5,Dutch Grand Prix,1955-06-19T00:00:00
797,58,1955,6,British Grand Prix,1955-07-16T00:00:00
798,14,1955,7,Italian Grand Prix,1955-09-11T00:00:00
784,25,1956,1,Argentine Grand Prix,1956-01-22T00:00:00
785,6,1956,2,Monaco Grand Prix,1956-05-13T00:00:00
786,19,1956,3,Indianapolis 500,1956-05-30T00:00:00
787,13,1956,4,Belgian Grand Prix,1956-06-03T00:00:00
788,55,1956,5,French Grand Prix,1956-07-01T00:00:00
789,9,1956,6,British Grand Prix,1956-07-14T00:00:00
790,20,1956,7,German Grand Prix,1956-08-05T00:00:00
791,14,1956,8,Italian Grand Prix,1956-09-02T00:00:00
776,25,1957,1,Argentine Grand Prix,1957-01-13T00:00:00
777,6,1957,2,Monaco Grand Prix,1957-05-19T00:00:00
778,19,1957,3,Indianapolis 500,1957-05-30T00:00:00
779,53,1957,4,French Grand Prix,1957-07-07T00:00:00
780,58,1957,5,British Grand Prix,1957-07-20T00:00:00
781,20,1957,6,German Grand Prix,1957-08-04T00:00:00
782,65,1957,7,Pescara Grand Prix,1957-08-18T00:00:00
783,14,1957,8,Italian Grand Prix,1957-09-08T00:00:00
765,25,1958,1,Argentine Grand Prix,1958-01-19T00:00:00
766,6,1958,2,Monaco Grand Prix,1958-05-18T00:00:00
767,39,1958,3,Dutch Grand Prix,1958-05-26T00:00:00
768,19,1958,4,Indianapolis 500,1958-05-30T00:00:00
769,13,1958,5,Belgian Grand Prix,1958-06-15T00:00:00
770,55,1958,6,French Grand Prix,1958-07-06T00:00:00
771,9,1958,7,British Grand Prix,1958-07-19T00:00:00
772,20,1958,8,German Grand Prix,1958-08-03T00:00:00
773,59,1958,9,Portuguese Grand Prix,1958-08-24T00:00:00
774,14,1958,10,Italian Grand Prix,1958-09-07T00:00:00
775,64,1958,11,Moroccan Grand Prix,1958-10-19T00:00:00
756,6,1959,1,Monaco Grand Prix,1959-05-10T00:00:00
757,19,1959,2,Indianapolis 500,1959-05-30T00:00:00
758,39,1959,3,Dutch Grand Prix,1959-05-31T00:00:00
759,55,1959,4,French Grand Prix,1959-07-05T00:00:00
760,58,1959,5,British Grand Prix,1959-07-18T00:00:00
761,61,1959,6,German Grand Prix,1959-08-02T00:00:00
762,62,1959,7,Portuguese Grand Prix,1959-08-23T00:00:00
763,14,1959,8,Italian Grand Prix,1959-09-13T00:00:00
764,63,1959,9,United States Grand Prix,1959-12-12T00:00:00
746,25,1960,1,Argentine Grand Prix,1960-02-07T00:00:00
747,6,1960,2,Monaco Grand Prix,1960-05-29T00:00:00
748,19,1960,3,Indianapolis 500,1960-05-30T00:00:00
749,39,1960,4,Dutch Grand Prix,1960-06-06T00:00:00
750,13,1960,5,Belgian Grand Prix,1960-06-19T00:00:00
751,55,1960,6,French Grand Prix,1960-07-03T00:00:00
752,9,1960,7,British Grand Prix,1960-07-16T00:00:00
753,59,1960,8,Portuguese Grand Prix,1960-08-14T00:00:00
754,14,1960,9,Italian Grand Prix,1960-09-04T00:00:00
755,60,1960,10,United States Grand Prix,1960-11-20T00:00:00
738,6,1961,1,Monaco Grand Prix,1961-05-14T00:00:00
739,39,1961,2,Dutch Grand Prix,1961-05-22T00:00:00
740,13,1961,3,Belgian Grand Prix,1961-06-18T00:00:00
741,55,1961,4,French Grand Prix,1961-07-02T00:00:00
742,58,1961,5,British Grand Prix,1961-07-15T00:00:00
743,20,1961,6,German Grand Prix,1961-08-06T00:00:00
744,14,1961,7,Italian Grand Prix,1961-09-10T00:00:00
745,46,1961,8,United States Grand Prix,1961-10-08T00:00:00
729,39,1962,1,Dutch Grand Prix,1962-05-20T00:00:00
730,6,1962,2,Monaco Grand Prix,1962-06-03T00:00:00
731,13,1962,3,Belgian Grand Prix,1962-06-17T00:00:00
732,53,1962,4,French Grand Prix,1962-07-08T00:00:00
733,58,1962,5,British Grand Prix,1962-07-21T00:00:00
734,20,1962,6,German Grand Prix,1962-08-05T00:00:00
735,14,1962,7,Italian Grand Prix,1962-09-16T00:00:00
736,46,1962,8,United States Grand Prix,1962-10-07T00:00:00
737,56,1962,9,South African Grand Prix,1962-12-29T00:00:00
719,6,1963,1,Monaco Grand Prix,1963-05-26T00:00:00
720,13,1963,2,Belgian Grand Prix,1963-06-09T00:00:00
721,39,1963,3,Dutch Grand Prix,1963-06-23T00:00:00
722,55,1963,4,French Grand Prix,1963-06-30T00:00:00
723,9,1963,5,British Grand Prix,1963-07-20T00:00:00
724,20,1963,6,German Grand Prix,1963-08-04T00:00:00
725,14,1963,7,Italian Grand Prix,1963-09-08T00:00:00
726,46,1963,8,United States Grand Prix,1963-10-06T00:00:00
727,32,1963,9,Mexican Grand Prix,1963-10-27T00:00:00
728,56,1963,10,South African Grand Prix,1963-12-28T00:00:00
709,6,1964,1,Monaco Grand Prix,1964-05-10T00:00:00
710,39,1964,2,Dutch Grand Prix,1964-05-24T00:00:00
711,13,1964,3,Belgian Grand Prix,1964-06-14T00:00:00
712,53,1964,4,French Grand Prix,1964-06-28T00:00:00
713,38,1964,5,British Grand Prix,1964-07-11T00:00:00
714,20,1964,6,German Grand Prix,1964-08-02T00:00:00
715,57,1964,7,Austrian Grand Prix,1964-08-23T00:00:00
716,14,1964,8,Italian Grand Prix,1964-09-06T00:00:00
717,46,1964,9,United States Grand Prix,1964-10-04T00:00:00
718,32,1964,10,Mexican Grand Prix,1964-10-25T00:00:00
699,56,1965,1,South African Grand Prix,1965-01-01T00:00:00
700,6,1965,2,Monaco Grand Prix,1965-05-30T00:00:00
701,13,1965,3,Belgian Grand Prix,1965-06-13T00:00:00
702,51,1965,4,French Grand Prix,1965-06-27T00:00:00
703,9,1965,5,British Grand Prix,1965-07-10T00:00:00
704,39,1965,6,Dutch Grand Prix,1965-07-18T00:00:00
705,20,1965,7,German Grand Prix,1965-08-01T00:00:00
706,14,1965,8,Italian Grand Prix,1965-09-12T00:00:00
707,46,1965,9,United States Grand Prix,1965-10-03T00:00:00
708,32,1965,10,Mexican Grand Prix,1965-10-24T00:00:00
690,6,1966,1,Monaco Grand Prix,1966-05-22T00:00:00
691,13,1966,2,Belgian Grand Prix,1966-06-12T00:00:00
692,55,1966,3,French Grand Prix,1966-07-03T00:00:00
693,38,1966,4,British Grand Prix,1966-07-16T00:00:00
694,39,1966,5,Dutch Grand Prix,1966-07-24T00:00:00
695,20,1966,6,German Grand Prix,1966-08-07T00:00:00
696,14,1966,7,Italian Grand Prix,1966-09-04T00:00:00
697,46,1966,8,United States Grand Prix,1966-10-02T00:00:00
698,32,1966,9,Mexican Grand Prix,1966-10-23T00:00:00
679,30,1967,1,South African Grand Prix,1967-01-02T00:00:00
680,6,1967,2,Monaco Grand Prix,1967-05-07T00:00:00
681,39,1967,3,Dutch Grand Prix,1967-06-04T00:00:00
682,13,1967,4,Belgian Grand Prix,1967-06-18T00:00:00
683,54,1967,5,French Grand Prix,1967-07-02T00:00:00
684,9,1967,6,British Grand Prix,1967-07-15T00:00:00
685,20,1967,7,German Grand Prix,1967-08-06T00:00:00
686,48,1967,8,Canadian Grand Prix,1967-08-27T00:00:00
687,14,1967,9,Italian Grand Prix,1967-09-10T00:00:00
688,46,1967,10,United States Grand Prix,1967-10-01T00:00:00
689,32,1967,11,Mexican Grand Prix,1967-10-22T00:00:00
667,30,1968,1,South African Grand Prix,1968-01-01T00:00:00
668,45,1968,2,Spanish Grand Prix,1968-05-12T00:00:00
669,6,1968,3,Monaco Grand Prix,1968-05-26T00:00:00
670,13,1968,4,Belgian Grand Prix,1968-06-09T00:00:00
671,39,1968,5,Dutch Grand Prix,1968-06-23T00:00:00
672,53,1968,6,French Grand Prix,1968-07-07T00:00:00
673,38,1968,7,British Grand Prix,1968-07-20T00:00:00
674,20,1968,8,German Grand Prix,1968-08-04T00:00:00
675,14,1968,9,Italian Grand Prix,1968-09-08T00:00:00
676,52,1968,10,Canadian Grand Prix,1968-09-22T00:00:00
677,46,1968,11,United States Grand Prix,1968-10-06T00:00:00
678,32,1968,12,Mexican Grand Prix,1968-11-03T00:00:00
656,30,1969,1,South African Grand Prix,1969-03-01T00:00:00
657,49,1969,2,Spanish Grand Prix,1969-05-04T00:00:00
658,6,1969,3,Monaco Grand Prix,1969-05-18T00:00:00
659,39,1969,4,Dutch Grand Prix,1969-06-21T00:00:00
660,51,1969,5,French Grand Prix,1969-07-06T00:00:00
661,9,1969,6,British Grand Prix,1969-07-19T00:00:00
662,20,1969,7,German Grand Prix,1969-08-03T00:00:00
663,14,1969,8,Italian Grand Prix,1969-09-07T00:00:00
664,48,1969,9,Canadian Grand Prix,1969-09-20T00:00:00
665,46,1969,10,United States Grand Prix,1969-10-05T00:00:00
666,32,1969,11,Mexican Grand Prix,1969-10-19T00:00:00
643,30,1970,1,South African Grand Prix,1970-03-07T00:00:00
644,45,1970,2,Spanish Grand Prix,1970-04-19T00:00:00
645,6,1970,3,Monaco Grand Prix,1970-05-10T00:00:00
646,13,1970,4,Belgian Grand Prix,1970-06-07T00:00:00
647,39,1970,5,Dutch Grand Prix,1970-06-21T00:00:00
648,51,1970,6,French Grand Prix,1970-07-05T00:00:00
649,38,1970,7,British Grand Prix,1970-07-18T00:00:00
650,10,1970,8,German Grand Prix,1970-08-02T00:00:00
651,23,1970,9,Austrian Grand Prix,1970-08-16T00:00:00
652,14,1970,10,Italian Grand Prix,1970-09-06T00:00:00
653,52,1970,11,Canadian Grand Prix,1970-09-20T00:00:00
654,46,1970,12,United States Grand Prix,1970-10-04T00:00:00
655,32,1970,13,Mexican Grand Prix,1970-10-25T00:00:00
632,30,1971,1,South African Grand Prix,1971-03-06T00:00:00
633,49,1971,2,Spanish Grand Prix,1971-04-18T00:00:00
634,6,1971,3,Monaco Grand Prix,1971-05-23T00:00:00
635,39,1971,4,Dutch Grand Prix,1971-06-20T00:00:00
636,34,1971,5,French Grand Prix,1971-07-04T00:00:00
637,9,1971,6,British Grand Prix,1971-07-17T00:00:00
638,20,1971,7,German Grand Prix,1971-08-01T00:00:00
639,23,1971,8,Austrian Grand Prix,1971-08-15T00:00:00
640,14,1971,9,Italian Grand Prix,1971-09-05T00:00:00
641,48,1971,10,Canadian Grand Prix,1971-09-19T00:00:00
642,46,1971,11,United States Grand Prix,1971-10-03T00:00:00
620,25,1972,1,Argentine Grand Prix,1972-01-23T00:00:00
621,30,1972,2,South African Grand Prix,1972-03-04T00:00:00
622,45,1972,3,Spanish Grand Prix,1972-05-01T00:00:00
623,6,1972,4,Monaco Grand Prix,1972-05-14T00:00:00
624,50,1972,5,Belgian Grand Prix,1972-06-04T00:00:00
625,51,1972,6,French Grand Prix,1972-07-02T00:00:00
626,38,1972,7,British Grand Prix,1972-07-15T00:00:00
627,20,1972,8,German Grand Prix,1972-07-30T00:00:00
628,23,1972,9,Austrian Grand Prix,1972-08-13T00:00:00
629,14,1972,10,Italian Grand Prix,1972-09-10T00:00:00
630,48,1972,11,Canadian Grand Prix,1972-09-24T00:00:00
631,46,1972,12,United States Grand Prix,1972-10-08T00:00:00
605,25,1973,1,Argentine Grand Prix,1973-01-28T00:00:00
606,18,1973,2,Brazilian Grand Prix,1973-02-11T00:00:00
607,30,1973,3,South African Grand Prix,1973-03-03T00:00:00
608,49,1973,4,Spanish Grand Prix,1973-04-29T00:00:00
609,40,1973,5,Belgian Grand Prix,1973-05-20T00:00:00
610,6,1973,6,Monaco Grand Prix,1973-06-03T00:00:00
611,47,1973,7,Swedish Grand Prix,1973-06-17T00:00:00
612,34,1973,8,French Grand Prix,1973-07-01T00:00:00
613,9,1973,9,British Grand Prix,1973-07-14T00:00:00
614,39,1973,10,Dutch Grand Prix,1973-07-29T00:00:00
615,20,1973,11,German Grand Prix,1973-08-05T00:00:00
616,23,1973,12,Austrian Grand Prix,1973-08-19T00:00:00
617,14,1973,13,Italian Grand Prix,1973-09-09T00:00:00
618,48,1973,14,Canadian Grand Prix,1973-09-23T00:00:00
619,46,1973,15,United States Grand Prix,1973-10-07T00:00:00
590,25,1974,1,Argentine Grand Prix,1974-01-13T00:00:00
591,18,1974,2,Brazilian Grand Prix,1974-01-27T00:00:00
592,30,1974,3,South African Grand Prix,1974-03-30T00:00:00
593,45,1974,4,Spanish Grand Prix,1974-04-28T00:00:00
594,50,1974,5,Belgian Grand Prix,1974-05-12T00:00:00
595,6,1974,6,Monaco Grand Prix,1974-05-26T00:00:00
596,47,1974,7,Swedish Grand Prix,1974-06-09T00:00:00
597,39,1974,8,Dutch Grand Prix,1974-06-23T00:00:00
598,41,1974,9,French Grand Prix,1974-07-07T00:00:00
599,38,1974,10,British Grand Prix,1974-07-20T00:00:00
600,20,1974,11,German Grand Prix,1974-08-04T00:00:00
601,23,1974,12,Austrian Grand Prix,1974-08-18T00:00:00
602,14,1974,13,Italian Grand Prix,1974-09-08T00:00:00
603,48,1974,14,Canadian Grand Prix,1974-09-22T00:00:00
604,46,1974,15,United States Grand Prix,1974-10-06T00:00:00
576,25,1975,1,Argentine Grand Prix,1975-01-12T00:00:00
577,18,1975,2,Brazilian Grand Prix,1975-01-26T00:00:00
578,30,1975,3,South African Grand Prix,1975-03-01T00:00:00
579,49,1975,4,Spanish Grand Prix,1975-04-27T00:00:00
580,6,1975,5,Monaco Grand Prix,1975-05-11T00:00:00
581,40,1975,6,Belgian Grand Prix,1975-05-25T00:00:00
582,47,1975,7,Swedish Grand Prix,1975-06-08T00:00:00
583,39,1975,8,Dutch Grand Prix,1975-06-22T00:00:00
584,34,1975,9,French Grand Prix,1975-07-06T00:00:00
585,9,1975,10,British Grand Prix,1975-07-19T00:00:00
586,20,1975,11,German Grand Prix,1975-08-03T00:00:00
587,23,1975,12,Austrian Grand Prix,1975-08-17T00:00:00
588,14,1975,13,Italian Grand Prix,1975-09-07T00:00:00
589,46,1975,14,United States Grand Prix,1975-10-05T00:00:00
560,18,1976,1,Brazilian Grand Prix,1976-01-25T00:00:00
561,30,1976,2,South African Grand Prix,1976-03-06T00:00:00
562,43,1976,3,United States Grand Prix West,1976-03-28T00:00:00
563,45,1976,4,Spanish Grand Prix,1976-05-02T00:00:00
564,40,1976,5,Belgian Grand Prix,1976-05-16T00:00:00
565,6,1976,6,Monaco Grand Prix,1976-05-30T00:00:00
566,47,1976,7,Swedish Grand Prix,1976-06-13T00:00:00
567,34,1976,8,French Grand Prix,1976-07-04T00:00:00
568,38,1976,9,British Grand Prix,1976-07-18T00:00:00
569,20,1976,10,German Grand Prix,1976-08-01T00:00:00
570,23,1976,11,Austrian Grand Prix,1976-08-15T00:00:00
571,39,1976,12,Dutch Grand Prix,1976-08-29T00:00:00
572,14,1976,13,Italian Grand Prix,1976-09-12T00:00:00
573,48,1976,14,Canadian Grand Prix,1976-10-03T00:00:00
574,46,1976,15,United States Grand Prix,1976-10-10T00:00:00
575,16,1976,16,Japanese Grand Prix,1976-10-24T00:00:00
543,25,1977,1,Argentine Grand Prix,1977-01-09T00:00:00
544,18,1977,2,Brazilian Grand Prix,1977-01-23T00:00:00
545,30,1977,3,South African Grand Prix,1977-03-05T00:00:00
546,43,1977,4,United States Grand Prix West,1977-04-03T00:00:00
547,45,1977,5,Spanish Grand Prix,1977-05-08T00:00:00
548,6,1977,6,Monaco Grand Prix,1977-05-22T00:00:00
549,40,1977,7,Belgian Grand Prix,1977-06-05T00:00:00
550,47,1977,8,Swedish Grand Prix,1977-06-19T00:00:00
551,41,1977,9,French Grand Prix,1977-07-03T00:00:00
552,9,1977,10,British Grand Prix,1977-07-16T00:00:00
553,10,1977,11,German Grand Prix,1977-07-31T00:00:00
554,23,1977,12,Austrian Grand Prix,1977-08-14T00:00:00
555,39,1977,13,Dutch Grand Prix,1977-08-28T00:00:00
556,14,1977,14,Italian Grand Prix,1977-09-11T00:00:00
557,46,1977,15,United States Grand Prix,1977-10-02T00:00:00
558,48,1977,16,Canadian Grand Prix,1977-10-09T00:00:00
559,16,1977,17,Japanese Grand Prix,1977-10-23T00:00:00
527,25,1978,1,Argentine Grand Prix,1978-01-15T00:00:00
528,36,1978,2,Brazilian Grand Prix,1978-01-29T00:00:00
529,30,1978,3,South African Grand Prix,1978-03-04T00:00:00
530,43,1978,4,United States Grand Prix West,1978-04-02T00:00:00
531,6,1978,5,Monaco Grand Prix,1978-05-07T00:00:00
532,40,1978,6,Belgian Grand Prix,1978-05-21T00:00:00
533,45,1978,7,Spanish Grand Prix,1978-06-04T00:00:00
534,47,1978,8,Swedish Grand Prix,1978-06-17T00:00:00
535,34,1978,9,French Grand Prix,1978-07-02T00:00:00
536,38,1978,10,British Grand Prix,1978-07-16T00:00:00
537,10,1978,11,German Grand Prix,1978-07-30T00:00:00
538,23,1978,12,Austrian Grand Prix,1978-08-13T00:00:00
539,39,1978,13,Dutch Grand Prix,1978-08-27T00:00:00
540,14,1978,14,Italian Grand Prix,1978-09-10T00:00:00
541,46,1978,15,United States Grand Prix,1978-10-01T00:00:00
542,7,1978,16,Canadian Grand Prix,1978-10-08T00:00:00
512,25,1979,1,Argentine Grand Prix,1979-01-21T00:00:00
513,18,1979,2,Brazilian Grand Prix,1979-02-04T00:00:00
514,30,1979,3,South African Grand Prix,1979-03-03T00:00:00
515,43,1979,4,United States Grand Prix West,1979-04-08T00:00:00
516,45,1979,5,Spanish Grand Prix,1979-04-29T00:00:00
517,40,1979,6,Belgian Grand Prix,1979-05-13T00:00:00
518,6,1979,7,Monaco Grand Prix,1979-05-27T00:00:00
519,41,1979,8,French Grand Prix,1979-07-01T00:00:00
520,9,1979,9,British Grand Prix,1979-07-14T00:00:00
521,10,1979,10,German Grand Prix,1979-07-29T00:00:00
522,23,1979,11,Austrian Grand Prix,1979-08-12T00:00:00
523,39,1979,12,Dutch Grand Prix,1979-08-26T00:00:00
524,14,1979,13,Italian Grand Prix,1979-09-09T00:00:00
525,7,1979,14,Canadian Grand Prix,1979-09-30T00:00:00
526,46,1979,15,United States Grand Prix,1979-10-07T00:00:00
498,25,1980,1,Argentine Grand Prix,1980-01-13T00:00:00
499,18,1980,2,Brazilian Grand Prix,1980-01-27T00:00:00
500,30,1980,3,South African Grand Prix,1980-03-01T00:00:00
501,43,1980,4,United States Grand Prix West,1980-03-30T00:00:00
502,40,1980,5,Belgian Grand Prix,1980-05-04T00:00:00
503,6,1980,6,Monaco Grand Prix,1980-05-18T00:00:00
504,34,1980,7,French Grand Prix,1980-06-29T00:00:00
505,38,1980,8,British Grand Prix,1980-07-13T00:00:00
506,10,1980,9,German Grand Prix,1980-08-10T00:00:00
507,23,1980,10,Austrian Grand Prix,1980-08-17T00:00:00
508,39,1980,11,Dutch Grand Prix,1980-08-31T00:00:00
509,21,1980,12,Italian Grand Prix,1980-09-14T00:00:00
510,7,1980,13,Canadian Grand Prix,1980-09-28T00:00:00
511,46,1980,14,United States Grand Prix,1980-10-05T00:00:00
483,43,1981,1,United States Grand Prix West,1981-03-15T00:00:00
484,36,1981,2,Brazilian Grand Prix,1981-03-29T00:00:00
485,25,1981,3,Argentine Grand Prix,1981-04-12T00:00:00
486,21,1981,4,San Marino Grand Prix,1981-05-03T00:00:00
487,40,1981,5,Belgian Grand Prix,1981-05-17T00:00:00
488,6,1981,6,Monaco Grand Prix,1981-05-31T00:00:00
489,45,1981,7,Spanish Grand Prix,1981-06-21T00:00:00
490,41,1981,8,French Grand Prix,1981-07-05T00:00:00
491,9,1981,9,British Grand Prix,1981-07-18T00:00:00
492,10,1981,10,German Grand Prix,1981-08-02T00:00:00
493,23,1981,11,Austrian Grand Prix,1981-08-16T00:00:00
494,39,1981,12,Dutch Grand Prix,1981-08-30T00:00:00
